지역,졸업자,진학자,일반고,특성화고,특목고,자율고,기타,취업자,무직자및미상,year
서울,75301,75150,48352,12663,3267,10383,485,2,149,2018
부산,26926,26835,17566,5734,2101,1110,324,3,88,2018
대구,22753,22644,13993,4135,1224,3176,116,1,108,2018
인천,25956,25868,17718,5704,1288,711,447,-,88,2018
광주,16074,16039,12143,2768,612,403,113,2,33,2018
대전,14890,14834,9526,2281,872,2027,128,-,56,2018
울산,10817,10790,7668,2009,764,310,39,-,27,2018
세종,2698,2691,2171,162,165,182,11,-,7,2018
경기,119859,119507,91774,19425,4440,3406,462,4,348,2018
강원,14068,14020,10642,2682,541,70,85,-,48,2018
충북,14618,14573,9376,3908,744,445,100,2,43,2018
충남,19019,18953,13751,3514,752,843,93,1,65,2018
전북,18116,18063,13330,3163,872,608,90,1,52,2018
전남,16805,16751,11293,4130,729,547,52,3,51,2018
경북,22227,22158,15742,3873,1195,1291,57,1,68,2018
경남,31199,31126,23536,4321,1266,1551,452,1,72,2018
제주,6445,6405,4655,1422,270,18,40,-,40,2018
서울,75601,75438,50086,12082,3182,9556,532,1,162,2019
부산,27190,27083,17724,5769,1998,1224,368,-,107,2019
대구,23608,23457,14389,4321,1284,3354,109,-,151,2019
인천,26693,26622,18446,5425,1323,1129,299,-,71,2019
광주,16339,16311,12426,2731,604,439,111,-,28,2019
대전,14897,14861,9680,2096,828,2192,65,-,36,2019
울산,11159,11138,8327,1707,772,281,51,-,21,2019
세종,3333,3324,2857,133,218,86,30,-,9,2019
경기,123587,123072,96379,18586,4421,3217,469,-,515,2019
강원,13694,13641,10402,2539,542,76,82,3,50,2019
충북,14452,14395,9297,3704,744,548,102,1,56,2019
충남,19434,19357,14047,3685,779,765,81,-,77,2019
전북,17796,17758,13427,2826,909,526,70,-,38,2019
전남,16513,16475,11330,3881,745,469,50,-,38,2019
경북,22210,22139,15939,3827,1149,1164,60,2,69,2019
경남,31513,31408,24110,4117,1287,1424,470,9,96,2019
제주,6698,6651,5217,1201,208,8,17,-,47,2019
서울,72254,72105,48305,10865,3167,9215,553,-,149,2020
부산,25351,25251,16838,5321,1956,922,214,-,100,2020
대구,21707,21546,13538,4088,1251,2560,109,-,161,2020
인천,25495,25412,17853,5084,1285,1078,112,-,83,2020
광주,15014,14992,11581,2379,521,436,75,-,22,2020
대전,14269,14209,9716,1883,840,1699,71,2,58,2020
울산,10556,10519,7682,1684,765,361,27,-,37,2020
세종,3614,3607,2873,268,220,227,19,-,7,2020
경기,120268,119878,95466,17152,4210,2602,448,6,384,2020
강원,13126,13069,10280,2120,544,55,70,3,54,2020
충북,14169,14094,9173,3450,735,663,73,2,73,2020
충남,19069,19005,13739,3627,778,796,65,1,63,2020
전북,16924,16897,13421,2388,933,107,48,-,27,2020
전남,15824,15786,10670,3778,795,494,49,2,36,2020
경북,21077,21022,15319,3347,1170,1100,86,3,52,2020
경남,30503,30404,23462,3733,1303,1537,369,1,98,2020
제주,6306,6246,4934,1114,172,6,20,-,60,2020
서울,65516,65381,45929,9110,3019,6958,365,-,135,2021
부산,23317,23228,15523,4930,1897,673,205,-,89,2021
대구,20155,20079,13653,3675,1262,1385,104,-,76,2021
인천,23810,23745,17231,4420,1201,739,154,-,65,2021
광주,13672,13648,10494,2218,482,402,52,-,24,2021
대전,12850,12806,8488,1715,741,1783,79,-,44,2021
울산,9839,9810,7309,1573,759,136,33,-,29,2021
세종,3666,3657,3069,258,211,101,18,-,9,2021
경기,111865,111591,89290,15844,4062,2084,311,1,273,2021
강원,12288,12248,9686,1943,520,40,59,-,40,2021
충북,13081,13035,8319,3213,688,719,96,-,46,2021
충남,17929,17865,13171,3354,702,586,52,1,63,2021
전북,15751,15722,12445,2260,853,113,51,-,29,2021
전남,14510,14466,10069,3346,712,283,56,-,44,2021
경북,19869,19831,14568,2912,1106,1191,54,1,37,2021
경남,28331,28283,21966,3460,1268,1285,304,-,48,2021
제주,6113,6076,4633,1222,182,7,32,-,37,2021
서울,67240,67097,49426,7983,2839,6371,478,1,142,2022
부산,23660,23587,16152,4862,1940,419,214,1,72,2022
대구,19986,19884,14062,3497,1222,939,164,-,102,2022
인천,24646,24582,18817,3883,1203,539,140,2,62,2022
광주,14146,14118,11219,2126,500,228,45,-,28,2022
대전,13200,13168,8790,1619,751,1938,70,-,32,2022
울산,10208,10170,7761,1553,667,147,42,-,38,2022
세종,4223,4216,3558,224,221,192,21,-,7,2022
경기,119197,118800,97957,15215,3836,1380,412,4,393,2022
강원,12069,12024,9637,1792,500,32,63,1,44,2022
충북,13371,13304,8767,3158,674,639,66,-,67,2022
충남,18812,18777,14149,3122,748,686,72,2,33,2022
전북,15673,15633,12571,2144,770,86,62,-,40,2022
전남,14937,14898,10479,3316,689,357,57,-,39,2022
경북,20140,20094,14612,3141,1113,1174,54,-,46,2022
경남,29440,29369,23356,3600,1173,891,349,-,71,2022
제주,6392,6357,5000,1107,193,10,47,-,35,2022
