,졸업자,진학자,일반고,특성화고,특목고,자율고,기타,취업자,무직자및미상,year
서울,67240,67097,49426,7983,2839,6371,478,1,142,2022
부산,23660,23587,16152,4862,1940,419,214,1,72,2022
대구,19986,19884,14062,3497,1222,939,164,-,102,2022
인천,24646,24582,18817,3883,1203,539,140,2,62,2022
광주,14146,14118,11219,2126,500,228,45,-,28,2022
대전,13200,13168,8790,1619,751,1938,70,-,32,2022
울산,10208,10170,7761,1553,667,147,42,-,38,2022
세종,4223,4216,3558,224,221,192,21,-,7,2022
경기,119197,118800,97957,15215,3836,1380,412,4,393,2022
강원,12069,12024,9637,1792,500,32,63,1,44,2022
충북,13371,13304,8767,3158,674,639,66,-,67,2022
충남,18812,18777,14149,3122,748,686,72,2,33,2022
전북,15673,15633,12571,2144,770,86,62,-,40,2022
전남,14937,14898,10479,3316,689,357,57,-,39,2022
경북,20140,20094,14612,3141,1113,1174,54,-,46,2022
경남,29440,29369,23356,3600,1173,891,349,-,71,2022
제주,6392,6357,5000,1107,193,10,47,-,35,2022
